"year","month","day","country","dengue_activity"
2002,"12","29","Argentina",NA
2002,"12","29","Bolivia",0.101
2002,"12","29","Brazil",0.073
2002,"12","29","India",0.062
2002,"12","29","Indonesia",0.101
2002,"12","29","Mexico",NA
2002,"12","29","Philippines",NA
2002,"12","29","Singapore",0.059
2002,"12","29","Thailand",NA
2002,"12","29","Venezuela",NA
2003,"01","05","Argentina",NA
2003,"01","05","Bolivia",0.143
2003,"01","05","Brazil",0.098
2003,"01","05","India",0.047
2003,"01","05","Indonesia",0.039
2003,"01","05","Mexico",NA
2003,"01","05","Philippines",NA
2003,"01","05","Singapore",0.059
2003,"01","05","Thailand",NA
2003,"01","05","Venezuela",NA
2003,"01","12","Argentina",NA
2003,"01","12","Bolivia",0.176
2003,"01","12","Brazil",0.119
2003,"01","12","India",0.051
2003,"01","12","Indonesia",0.059
2003,"01","12","Mexico",0.071
2003,"01","12","Philippines",NA
2003,"01","12","Singapore",0.238
2003,"01","12","Thailand",NA
2003,"01","12","Venezuela",NA
2003,"01","19","Argentina",NA
2003,"01","19","Bolivia",0.173
2003,"01","19","Brazil",0.17
2003,"01","19","India",0.032
2003,"01","19","Indonesia",0.039
2003,"01","19","Mexico",0.052
2003,"01","19","Philippines",NA
2003,"01","19","Singapore",0.175
2003,"01","19","Thailand",NA
2003,"01","19","Venezuela",NA
2003,"01","26","Argentina",NA
2003,"01","26","Bolivia",0.146
2003,"01","26","Brazil",0.138
2003,"01","26","India",0.04
2003,"01","26","Indonesia",0.112
2003,"01","26","Mexico",0.048
2003,"01","26","Philippines",NA
2003,"01","26","Singapore",0.164
2003,"01","26","Thailand",NA
2003,"01","26","Venezuela",NA
2003,"02","02","Argentina",NA
2003,"02","02","Bolivia",0.16
2003,"02","02","Brazil",0.202
2003,"02","02","India",0.038
2003,"02","02","Indonesia",0.049
2003,"02","02","Mexico",0.041
2003,"02","02","Philippines",NA
2003,"02","02","Singapore",0.163
2003,"02","02","Thailand",NA
2003,"02","02","Venezuela",NA
2003,"02","09","Argentina",NA
2003,"02","09","Bolivia",0.225
2003,"02","09","Brazil",0.179
2003,"02","09","India",0.019
2003,"02","09","Indonesia",0.06
2003,"02","09","Mexico",0.042
2003,"02","09","Philippines",NA
2003,"02","09","Singapore",0.15
2003,"02","09","Thailand",NA
2003,"02","09","Venezuela",NA
2003,"02","16","Argentina",0.046
2003,"02","16","Bolivia",0.109
2003,"02","16","Brazil",0.239
2003,"02","16","India",0.008
2003,"02","16","Indonesia",0.039
2003,"02","16","Mexico",0.049
2003,"02","16","Philippines",NA
2003,"02","16","Singapore",0.144
2003,"02","16","Thailand",NA
2003,"02","16","Venezuela",0.139
2003,"02","23","Argentina",0.048
2003,"02","23","Bolivia",0.147
2003,"02","23","Brazil",0.205
2003,"02","23","India",0.022
2003,"02","23","Indonesia",0.078
2003,"02","23","Mexico",0.054
2003,"02","23","Philippines",NA
2003,"02","23","Singapore",0.142
2003,"02","23","Thailand",NA
2003,"02","23","Venezuela",0.137
2003,"03","02","Argentina",0.051
2003,"03","02","Bolivia",0.119
2003,"03","02","Brazil",0.142
2003,"03","02","India",0.028
2003,"03","02","Indonesia",0.048
2003,"03","02","Mexico",0.075
2003,"03","02","Philippines",NA
2003,"03","02","Singapore",0.129
2003,"03","02","Thailand",NA
2003,"03","02","Venezuela",0.168
2003,"03","09","Argentina",0.051
2003,"03","09","Bolivia",0.195
2003,"03","09","Brazil",0.28
2003,"03","09","India",0.003
2003,"03","09","Indonesia",0.089
2003,"03","09","Mexico",0.096
2003,"03","09","Philippines",NA
2003,"03","09","Singapore",0.13
2003,"03","09","Thailand",NA
2003,"03","09","Venezuela",0.169
2003,"03","16","Argentina",0.046
2003,"03","16","Bolivia",0.289
2003,"03","16","Brazil",0.162
2003,"03","16","India",0.006
2003,"03","16","Indonesia",0.08
2003,"03","16","Mexico",0.064
2003,"03","16","Philippines",NA
2003,"03","16","Singapore",0.12
2003,"03","16","Thailand",NA
2003,"03","16","Venezuela",0.157
2003,"03","23","Argentina",0.043
2003,"03","23","Bolivia",0.227
2003,"03","23","Brazil",0.17
2003,"03","23","India",0.015
2003,"03","23","Indonesia",0.054
2003,"03","23","Mexico",0.073
2003,"03","23","Philippines",NA
2003,"03","23","Singapore",0.115
2003,"03","23","Thailand",NA
2003,"03","23","Venezuela",0.154
2003,"03","30","Argentina",0.039
2003,"03","30","Bolivia",0.194
2003,"03","30","Brazil",0.176
2003,"03","30","India",0.033
2003,"03","30","Indonesia",0.071
2003,"03","30","Mexico",0.076
2003,"03","30","Philippines",0.059
2003,"03","30","Singapore",0.104
2003,"03","30","Thailand",NA
2003,"03","30","Venezuela",0.138
2003,"04","06","Argentina",0.036
2003,"04","06","Bolivia",0.121
2003,"04","06","Brazil",0.134
2003,"04","06","India",0.008
2003,"04","06","Indonesia",0.054
2003,"04","06","Mexico",0.068
2003,"04","06","Philippines",0.059
2003,"04","06","Singapore",0.107
2003,"04","06","Thailand",NA
2003,"04","06","Venezuela",0.136
2003,"04","13","Argentina",0.031
2003,"04","13","Bolivia",0.101
2003,"04","13","Brazil",0.15
2003,"04","13","India",0.012
2003,"04","13","Indonesia",0.088
2003,"04","13","Mexico",0.055
2003,"04","13","Philippines",0.058
2003,"04","13","Singapore",0.101
2003,"04","13","Thailand",NA
2003,"04","13","Venezuela",0.129
2003,"04","20","Argentina",0.029
2003,"04","20","Bolivia",0.147
2003,"04","20","Brazil",0.104
2003,"04","20","India",0.03
2003,"04","20","Indonesia",0.054
2003,"04","20","Mexico",0.056
2003,"04","20","Philippines",0.058
2003,"04","20","Singapore",0.102
2003,"04","20","Thailand",NA
2003,"04","20","Venezuela",0.168
2003,"04","27","Argentina",0.034
2003,"04","27","Bolivia",0.097
2003,"04","27","Brazil",0.104
2003,"04","27","India",0.004
2003,"04","27","Indonesia",0.081
2003,"04","27","Mexico",0.072
2003,"04","27","Philippines",0.061
2003,"04","27","Singapore",0.128
2003,"04","27","Thailand",NA
2003,"04","27","Venezuela",0.263
2003,"05","04","Argentina",0.031
2003,"05","04","Bolivia",0.069
2003,"05","04","Brazil",0.089
2003,"05","04","India",0.007
2003,"05","04","Indonesia",0.068
2003,"05","04","Mexico",0.071
2003,"05","04","Philippines",0.059
2003,"05","04","Singapore",0.132
2003,"05","04","Thailand",NA
2003,"05","04","Venezuela",0.222
2003,"05","11","Argentina",0.039
2003,"05","11","Bolivia",0.064
2003,"05","11","Brazil",0.067
2003,"05","11","India",0
2003,"05","11","Indonesia",0.048
2003,"05","11","Mexico",0.06
2003,"05","11","Philippines",0.059
2003,"05","11","Singapore",0.14
2003,"05","11","Thailand",NA
2003,"05","11","Venezuela",0.2
2003,"05","18","Argentina",0.039
2003,"05","18","Bolivia",0.053
2003,"05","18","Brazil",0.109
2003,"05","18","India",0.019
2003,"05","18","Indonesia",0.061
2003,"05","18","Mexico",0.069
2003,"05","18","Philippines",0.057
2003,"05","18","Singapore",0.151
2003,"05","18","Thailand",NA
2003,"05","18","Venezuela",0.202
2003,"05","25","Argentina",0.039
2003,"05","25","Bolivia",0.064
2003,"05","25","Brazil",0.071
2003,"05","25","India",0.015
2003,"05","25","Indonesia",0.062
2003,"05","25","Mexico",0.074
2003,"05","25","Philippines",0.055
2003,"05","25","Singapore",0.175
2003,"05","25","Thailand",NA
2003,"05","25","Venezuela",0.177
2003,"06","01","Argentina",0.034
2003,"06","01","Bolivia",0.058
2003,"06","01","Brazil",0.08
2003,"06","01","India",0.031
2003,"06","01","Indonesia",0.082
2003,"06","01","Mexico",0.079
