"year","month","day","country","flu_activity"
2002,"12","29","Argentina",NA
2002,"12","29","Australia",NA
2002,"12","29","Austria",NA
2002,"12","29","Belgium",NA
2002,"12","29","Bolivia",NA
2002,"12","29","Brazil",174
2002,"12","29","Bulgaria",NA
2002,"12","29","Canada",NA
2002,"12","29","Chile",NA
2002,"12","29","France",NA
2002,"12","29","Germany",NA
2002,"12","29","Hungary",NA
2002,"12","29","Japan",NA
2002,"12","29","Mexico",NA
2002,"12","29","Netherlands",NA
2002,"12","29","New Zealand",NA
2002,"12","29","Norway",NA
2002,"12","29","Paraguay",NA
2002,"12","29","Peru",329
2002,"12","29","Poland",NA
2002,"12","29","Romania",NA
2002,"12","29","Russia",NA
2002,"12","29","South Africa",NA
2002,"12","29","Spain",NA
2002,"12","29","Sweden",NA
2002,"12","29","Switzerland",NA
2002,"12","29","Ukraine",NA
2002,"12","29","United States",NA
2002,"12","29","Uruguay",NA
2003,"01","05","Argentina",NA
2003,"01","05","Australia",NA
2003,"01","05","Austria",NA
2003,"01","05","Belgium",NA
2003,"01","05","Bolivia",NA
2003,"01","05","Brazil",162
2003,"01","05","Bulgaria",NA
2003,"01","05","Canada",NA
2003,"01","05","Chile",NA
2003,"01","05","France",NA
2003,"01","05","Germany",NA
2003,"01","05","Hungary",NA
2003,"01","05","Japan",NA
2003,"01","05","Mexico",NA
2003,"01","05","Netherlands",NA
2003,"01","05","New Zealand",NA
2003,"01","05","Norway",NA
2003,"01","05","Paraguay",NA
2003,"01","05","Peru",315
2003,"01","05","Poland",NA
2003,"01","05","Romania",NA
2003,"01","05","Russia",NA
2003,"01","05","South Africa",NA
2003,"01","05","Spain",NA
2003,"01","05","Sweden",NA
2003,"01","05","Switzerland",NA
2003,"01","05","Ukraine",NA
2003,"01","05","United States",NA
2003,"01","05","Uruguay",NA
2003,"01","12","Argentina",NA
2003,"01","12","Australia",NA
2003,"01","12","Austria",NA
2003,"01","12","Belgium",NA
2003,"01","12","Bolivia",NA
2003,"01","12","Brazil",174
2003,"01","12","Bulgaria",NA
2003,"01","12","Canada",NA
2003,"01","12","Chile",1
2003,"01","12","France",NA
2003,"01","12","Germany",NA
2003,"01","12","Hungary",NA
2003,"01","12","Japan",NA
2003,"01","12","Mexico",NA
2003,"01","12","Netherlands",NA
2003,"01","12","New Zealand",NA
2003,"01","12","Norway",NA
2003,"01","12","Paraguay",NA
2003,"01","12","Peru",314
2003,"01","12","Poland",NA
2003,"01","12","Romania",NA
2003,"01","12","Russia",NA
2003,"01","12","South Africa",NA
2003,"01","12","Spain",NA
2003,"01","12","Sweden",NA
2003,"01","12","Switzerland",NA
2003,"01","12","Ukraine",NA
2003,"01","12","United States",NA
2003,"01","12","Uruguay",NA
2003,"01","19","Argentina",NA
2003,"01","19","Australia",NA
2003,"01","19","Austria",NA
2003,"01","19","Belgium",NA
2003,"01","19","Bolivia",NA
2003,"01","19","Brazil",162
2003,"01","19","Bulgaria",NA
2003,"01","19","Canada",NA
2003,"01","19","Chile",0
2003,"01","19","France",NA
2003,"01","19","Germany",NA
2003,"01","19","Hungary",NA
2003,"01","19","Japan",NA
2003,"01","19","Mexico",NA
2003,"01","19","Netherlands",NA
2003,"01","19","New Zealand",NA
2003,"01","19","Norway",NA
2003,"01","19","Paraguay",NA
2003,"01","19","Peru",267
2003,"01","19","Poland",NA
2003,"01","19","Romania",NA
2003,"01","19","Russia",NA
2003,"01","19","South Africa",NA
2003,"01","19","Spain",NA
2003,"01","19","Sweden",NA
2003,"01","19","Switzerland",NA
2003,"01","19","Ukraine",NA
2003,"01","19","United States",NA
2003,"01","19","Uruguay",NA
2003,"01","26","Argentina",NA
2003,"01","26","Australia",NA
2003,"01","26","Austria",NA
2003,"01","26","Belgium",NA
2003,"01","26","Bolivia",NA
2003,"01","26","Brazil",131
2003,"01","26","Bulgaria",NA
2003,"01","26","Canada",NA
2003,"01","26","Chile",0
2003,"01","26","France",NA
2003,"01","26","Germany",NA
2003,"01","26","Hungary",NA
2003,"01","26","Japan",NA
2003,"01","26","Mexico",NA
2003,"01","26","Netherlands",NA
2003,"01","26","New Zealand",NA
2003,"01","26","Norway",NA
2003,"01","26","Paraguay",NA
2003,"01","26","Peru",241
2003,"01","26","Poland",NA
2003,"01","26","Romania",NA
2003,"01","26","Russia",NA
2003,"01","26","South Africa",NA
2003,"01","26","Spain",NA
2003,"01","26","Sweden",NA
2003,"01","26","Switzerland",NA
2003,"01","26","Ukraine",NA
2003,"01","26","United States",NA
2003,"01","26","Uruguay",NA
2003,"02","02","Argentina",136
2003,"02","02","Australia",NA
2003,"02","02","Austria",NA
2003,"02","02","Belgium",NA
2003,"02","02","Bolivia",NA
2003,"02","02","Brazil",151
2003,"02","02","Bulgaria",NA
2003,"02","02","Canada",NA
2003,"02","02","Chile",0
2003,"02","02","France",NA
2003,"02","02","Germany",NA
2003,"02","02","Hungary",NA
2003,"02","02","Japan",NA
2003,"02","02","Mexico",NA
2003,"02","02","Netherlands",NA
2003,"02","02","New Zealand",NA
2003,"02","02","Norway",NA
2003,"02","02","Paraguay",NA
2003,"02","02","Peru",227
2003,"02","02","Poland",NA
2003,"02","02","Romania",NA
2003,"02","02","Russia",NA
2003,"02","02","South Africa",NA
2003,"02","02","Spain",NA
2003,"02","02","Sweden",NA
2003,"02","02","Switzerland",NA
2003,"02","02","Ukraine",NA
2003,"02","02","United States",NA
2003,"02","02","Uruguay",NA
2003,"02","09","Argentina",145
2003,"02","09","Australia",NA
2003,"02","09","Austria",NA
2003,"02","09","Belgium",NA
2003,"02","09","Bolivia",NA
2003,"02","09","Brazil",184
2003,"02","09","Bulgaria",NA
2003,"02","09","Canada",NA
2003,"02","09","Chile",0
2003,"02","09","France",NA
2003,"02","09","Germany",NA
2003,"02","09","Hungary",NA
2003,"02","09","Japan",NA
2003,"02","09","Mexico",NA
2003,"02","09","Netherlands",NA
2003,"02","09","New Zealand",NA
2003,"02","09","Norway",NA
2003,"02","09","Paraguay",NA
2003,"02","09","Peru",250
2003,"02","09","Poland",NA
2003,"02","09","Romania",664
2003,"02","09","Russia",NA
2003,"02","09","South Africa",NA
2003,"02","09","Spain",NA
2003,"02","09","Sweden",NA
2003,"02","09","Switzerland",NA
2003,"02","09","Ukraine",NA
2003,"02","09","United States",NA
2003,"02","09","Uruguay",NA
2003,"02","16","Argentina",141
2003,"02","16","Australia",NA
2003,"02","16","Austria",NA
2003,"02","16","Belgium",NA
2003,"02","16","Bolivia",NA
2003,"02","16","Brazil",162
2003,"02","16","Bulgaria",NA
2003,"02","16","Canada",NA
2003,"02","16","Chile",0
2003,"02","16","France",NA
2003,"02","16","Germany",NA
2003,"02","16","Hungary",NA
2003,"02","16","Japan",NA
2003,"02","16","Mexico",NA
2003,"02","16","Netherlands",NA
2003,"02","16","New Zealand",NA
2003,"02","16","Norway",NA
2003,"02","16","Paraguay",NA
2003,"02","16","Peru",236
2003,"02","16","Poland",NA
2003,"02","16","Romania",736
2003,"02","16","Russia",NA
2003,"02","16","South Africa",NA
2003,"02","16","Spain",NA
2003,"02","16","Sweden",NA
2003,"02","16","Switzerland",NA
2003,"02","16","Ukraine",NA
2003,"02","16","United States",NA
2003,"02","16","Uruguay",NA
2003,"02","23","Argentina",135
2003,"02","23","Australia",NA
2003,"02","23","Austria",NA
2003,"02","23","Belgium",NA
2003,"02","23","Bolivia",426
2003,"02","23","Brazil",194
2003,"02","23","Bulgaria",NA
2003,"02","23","Canada",NA
2003,"02","23","Chile",0
2003,"02","23","France",NA
2003,"02","23","Germany",NA
2003,"02","23","Hungary",NA
2003,"02","23","Japan",NA
2003,"02","23","Mexico",NA
2003,"02","23","Netherlands",NA
2003,"02","23","New Zealand",NA
