"country","year","flu_activity","dengue_activity","infant_mortality","life_expectancy","continent"
Argentina,2002,,,17.1,74.3,Americas
Argentina,2003,,0.027,16.6,74.5,Americas
Argentina,2003,186,0.027,16.6,74.5,Americas
Argentina,2003,174,0.027,16.6,74.5,Americas
Argentina,2003,229,0.027,16.6,74.5,Americas
Argentina,2003,213,0.027,16.6,74.5,Americas
Argentina,2003,278,0.027,16.6,74.5,Americas
Argentina,2003,,0.027,16.6,74.5,Americas
Argentina,2003,149,0.027,16.6,74.5,Americas
Argentina,2003,158,0.027,16.6,74.5,Americas
Argentina,2003,103,0.027,16.6,74.5,Americas
Argentina,2003,141,0.027,16.6,74.5,Americas
Argentina,2003,134,0.027,16.6,74.5,Americas
Argentina,2003,193,0.027,16.6,74.5,Americas
Argentina,2003,348,0.027,16.6,74.5,Americas
Argentina,2003,235,0.027,16.6,74.5,Americas
Argentina,2003,136,0.027,16.6,74.5,Americas
Argentina,2003,109,0.027,16.6,74.5,Americas
Argentina,2003,225,0.027,16.6,74.5,Americas
Argentina,2003,205,0.027,16.6,74.5,Americas
Argentina,2003,187,0.027,16.6,74.5,Americas
Argentina,2003,166,0.027,16.6,74.5,Americas
Argentina,2003,258,0.027,16.6,74.5,Americas
Argentina,2003,232,0.027,16.6,74.5,Americas
Argentina,2003,178,0.027,16.6,74.5,Americas
Argentina,2003,251,0.027,16.6,74.5,Americas
Argentina,2003,325,0.027,16.6,74.5,Americas
Argentina,2003,134,0.027,16.6,74.5,Americas
Argentina,2003,136,0.027,16.6,74.5,Americas
Argentina,2003,192,0.027,16.6,74.5,Americas
Argentina,2003,261,0.027,16.6,74.5,Americas
Argentina,2003,241,0.027,16.6,74.5,Americas
Argentina,2003,,0.027,16.6,74.5,Americas
Argentina,2003,307,0.027,16.6,74.5,Americas
Argentina,2003,145,0.027,16.6,74.5,Americas
Argentina,2003,224,0.027,16.6,74.5,Americas
Argentina,2003,178,0.027,16.6,74.5,Americas
Argentina,2003,153,0.027,16.6,74.5,Americas
Argentina,2003,239,0.027,16.6,74.5,Americas
Argentina,2003,121,0.027,16.6,74.5,Americas
Argentina,2003,204,0.027,16.6,74.5,Americas
Argentina,2003,133,0.027,16.6,74.5,Americas
Argentina,2003,135,0.027,16.6,74.5,Americas
Argentina,2003,239,0.027,16.6,74.5,Americas
Argentina,2003,,0.027,16.6,74.5,Americas
Argentina,2003,184,0.027,16.6,74.5,Americas
Argentina,2003,217,0.027,16.6,74.5,Americas
Argentina,2003,209,0.027,16.6,74.5,Americas
Argentina,2003,253,0.027,16.6,74.5,Americas
Argentina,2003,201,0.027,16.6,74.5,Americas
Argentina,2003,123,0.027,16.6,74.5,Americas
Argentina,2003,100,0.027,16.6,74.5,Americas
Argentina,2003,210,0.027,16.6,74.5,Americas
Argentina,2003,,0.039,16.6,74.5,Americas
Argentina,2003,186,0.039,16.6,74.5,Americas
Argentina,2003,174,0.039,16.6,74.5,Americas
Argentina,2003,229,0.039,16.6,74.5,Americas
Argentina,2003,213,0.039,16.6,74.5,Americas
Argentina,2003,278,0.039,16.6,74.5,Americas
Argentina,2003,,0.039,16.6,74.5,Americas
Argentina,2003,149,0.039,16.6,74.5,Americas
Argentina,2003,158,0.039,16.6,74.5,Americas
Argentina,2003,103,0.039,16.6,74.5,Americas
Argentina,2003,141,0.039,16.6,74.5,Americas
Argentina,2003,134,0.039,16.6,74.5,Americas
Argentina,2003,193,0.039,16.6,74.5,Americas
Argentina,2003,348,0.039,16.6,74.5,Americas
Argentina,2003,235,0.039,16.6,74.5,Americas
Argentina,2003,136,0.039,16.6,74.5,Americas
Argentina,2003,109,0.039,16.6,74.5,Americas
Argentina,2003,225,0.039,16.6,74.5,Americas
Argentina,2003,205,0.039,16.6,74.5,Americas
Argentina,2003,187,0.039,16.6,74.5,Americas
Argentina,2003,166,0.039,16.6,74.5,Americas
Argentina,2003,258,0.039,16.6,74.5,Americas
Argentina,2003,232,0.039,16.6,74.5,Americas
Argentina,2003,178,0.039,16.6,74.5,Americas
Argentina,2003,251,0.039,16.6,74.5,Americas
Argentina,2003,325,0.039,16.6,74.5,Americas
Argentina,2003,134,0.039,16.6,74.5,Americas
Argentina,2003,136,0.039,16.6,74.5,Americas
Argentina,2003,192,0.039,16.6,74.5,Americas
Argentina,2003,261,0.039,16.6,74.5,Americas
Argentina,2003,241,0.039,16.6,74.5,Americas
Argentina,2003,,0.039,16.6,74.5,Americas
Argentina,2003,307,0.039,16.6,74.5,Americas
Argentina,2003,145,0.039,16.6,74.5,Americas
Argentina,2003,224,0.039,16.6,74.5,Americas
Argentina,2003,178,0.039,16.6,74.5,Americas
Argentina,2003,153,0.039,16.6,74.5,Americas
Argentina,2003,239,0.039,16.6,74.5,Americas
Argentina,2003,121,0.039,16.6,74.5,Americas
Argentina,2003,204,0.039,16.6,74.5,Americas
Argentina,2003,133,0.039,16.6,74.5,Americas
Argentina,2003,135,0.039,16.6,74.5,Americas
Argentina,2003,239,0.039,16.6,74.5,Americas
Argentina,2003,,0.039,16.6,74.5,Americas
Argentina,2003,184,0.039,16.6,74.5,Americas
Argentina,2003,217,0.039,16.6,74.5,Americas
Argentina,2003,209,0.039,16.6,74.5,Americas
Argentina,2003,253,0.039,16.6,74.5,Americas
Argentina,2003,201,0.039,16.6,74.5,Americas
Argentina,2003,123,0.039,16.6,74.5,Americas
Argentina,2003,100,0.039,16.6,74.5,Americas
Argentina,2003,210,0.039,16.6,74.5,Americas
Argentina,2003,,0.022,16.6,74.5,Americas
Argentina,2003,186,0.022,16.6,74.5,Americas
Argentina,2003,174,0.022,16.6,74.5,Americas
Argentina,2003,229,0.022,16.6,74.5,Americas
Argentina,2003,213,0.022,16.6,74.5,Americas
Argentina,2003,278,0.022,16.6,74.5,Americas
Argentina,2003,,0.022,16.6,74.5,Americas
Argentina,2003,149,0.022,16.6,74.5,Americas
Argentina,2003,158,0.022,16.6,74.5,Americas
Argentina,2003,103,0.022,16.6,74.5,Americas
Argentina,2003,141,0.022,16.6,74.5,Americas
Argentina,2003,134,0.022,16.6,74.5,Americas
Argentina,2003,193,0.022,16.6,74.5,Americas
Argentina,2003,348,0.022,16.6,74.5,Americas
Argentina,2003,235,0.022,16.6,74.5,Americas
Argentina,2003,136,0.022,16.6,74.5,Americas
Argentina,2003,109,0.022,16.6,74.5,Americas
Argentina,2003,225,0.022,16.6,74.5,Americas
Argentina,2003,205,0.022,16.6,74.5,Americas
Argentina,2003,187,0.022,16.6,74.5,Americas
Argentina,2003,166,0.022,16.6,74.5,Americas
Argentina,2003,258,0.022,16.6,74.5,Americas
Argentina,2003,232,0.022,16.6,74.5,Americas
Argentina,2003,178,0.022,16.6,74.5,Americas
Argentina,2003,251,0.022,16.6,74.5,Americas
Argentina,2003,325,0.022,16.6,74.5,Americas
Argentina,2003,134,0.022,16.6,74.5,Americas
Argentina,2003,136,0.022,16.6,74.5,Americas
Argentina,2003,192,0.022,16.6,74.5,Americas
Argentina,2003,261,0.022,16.6,74.5,Americas
Argentina,2003,241,0.022,16.6,74.5,Americas
Argentina,2003,,0.022,16.6,74.5,Americas
Argentina,2003,307,0.022,16.6,74.5,Americas
Argentina,2003,145,0.022,16.6,74.5,Americas
Argentina,2003,224,0.022,16.6,74.5,Americas
Argentina,2003,178,0.022,16.6,74.5,Americas
Argentina,2003,153,0.022,16.6,74.5,Americas
Argentina,2003,239,0.022,16.6,74.5,Americas
Argentina,2003,121,0.022,16.6,74.5,Americas
Argentina,2003,204,0.022,16.6,74.5,Americas
Argentina,2003,133,0.022,16.6,74.5,Americas
Argentina,2003,135,0.022,16.6,74.5,Americas
Argentina,2003,239,0.022,16.6,74.5,Americas
Argentina,2003,,0.022,16.6,74.5,Americas
Argentina,2003,184,0.022,16.6,74.5,Americas
Argentina,2003,217,0.022,16.6,74.5,Americas
Argentina,2003,209,0.022,16.6,74.5,Americas
Argentina,2003,253,0.022,16.6,74.5,Americas
Argentina,2003,201,0.022,16.6,74.5,Americas
Argentina,2003,123,0.022,16.6,74.5,Americas
Argentina,2003,100,0.022,16.6,74.5,Americas
Argentina,2003,210,0.022,16.6,74.5,Americas
Argentina,2003,,0.039,16.6,74.5,Americas
Argentina,2003,186,0.039,16.6,74.5,Americas
Argentina,2003,174,0.039,16.6,74.5,Americas
Argentina,2003,229,0.039,16.6,74.5,Americas
Argentina,2003,213,0.039,16.6,74.5,Americas
Argentina,2003,278,0.039,16.6,74.5,Americas
Argentina,2003,,0.039,16.6,74.5,Americas
Argentina,2003,149,0.039,16.6,74.5,Americas
Argentina,2003,158,0.039,16.6,74.5,Americas
Argentina,2003,103,0.039,16.6,74.5,Americas
Argentina,2003,141,0.039,16.6,74.5,Americas
Argentina,2003,134,0.039,16.6,74.5,Americas
Argentina,2003,193,0.039,16.6,74.5,Americas
Argentina,2003,348,0.039,16.6,74.5,Americas
Argentina,2003,235,0.039,16.6,74.5,Americas
Argentina,2003,136,0.039,16.6,74.5,Americas
Argentina,2003,109,0.039,16.6,74.5,Americas
Argentina,2003,225,0.039,16.6,74.5,Americas
Argentina,2003,205,0.039,16.6,74.5,Americas
Argentina,2003,187,0.039,16.6,74.5,Americas
Argentina,2003,166,0.039,16.6,74.5,Americas
Argentina,2003,258,0.039,16.6,74.5,Americas
Argentina,2003,232,0.039,16.6,74.5,Americas
Argentina,2003,178,0.039,16.6,74.5,Americas
Argentina,2003,251,0.039,16.6,74.5,Americas
Argentina,2003,325,0.039,16.6,74.5,Americas
Argentina,2003,134,0.039,16.6,74.5,Americas
Argentina,2003,136,0.039,16.6,74.5,Americas
Argentina,2003,192,0.039,16.6,74.5,Americas
Argentina,2003,261,0.039,16.6,74.5,Americas
Argentina,2003,241,0.039,16.6,74.5,Americas
Argentina,2003,,0.039,16.6,74.5,Americas
Argentina,2003,307,0.039,16.6,74.5,Americas
