"country","year","month","flu_activity","dengue_activity","infant_mortality","life_expectancy","continent"
Argentina,2002,"12",,,17.1,74.3,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"01",,,16.6,74.5,Americas
Argentina,2003,"02",136,,16.6,74.5,Americas
Argentina,2003,"02",135,,16.6,74.5,Americas
Argentina,2003,"02",141,,16.6,74.5,Americas
Argentina,2003,"02",145,,16.6,74.5,Americas
Argentina,2003,"02",136,0.048,16.6,74.5,Americas
Argentina,2003,"02",135,0.048,16.6,74.5,Americas
Argentina,2003,"02",141,0.048,16.6,74.5,Americas
Argentina,2003,"02",145,0.048,16.6,74.5,Americas
Argentina,2003,"02",136,,16.6,74.5,Americas
Argentina,2003,"02",135,,16.6,74.5,Americas
Argentina,2003,"02",141,,16.6,74.5,Americas
Argentina,2003,"02",145,,16.6,74.5,Americas
Argentina,2003,"02",136,0.046,16.6,74.5,Americas
Argentina,2003,"02",135,0.046,16.6,74.5,Americas
Argentina,2003,"02",141,0.046,16.6,74.5,Americas
Argentina,2003,"02",145,0.046,16.6,74.5,Americas
Argentina,2003,"03",158,0.043,16.6,74.5,Americas
Argentina,2003,"03",153,0.043,16.6,74.5,Americas
Argentina,2003,"03",136,0.043,16.6,74.5,Americas
Argentina,2003,"03",134,0.043,16.6,74.5,Americas
Argentina,2003,"03",134,0.043,16.6,74.5,Americas
Argentina,2003,"03",158,0.051,16.6,74.5,Americas
Argentina,2003,"03",153,0.051,16.6,74.5,Americas
Argentina,2003,"03",136,0.051,16.6,74.5,Americas
Argentina,2003,"03",134,0.051,16.6,74.5,Americas
Argentina,2003,"03",134,0.051,16.6,74.5,Americas
Argentina,2003,"03",158,0.051,16.6,74.5,Americas
Argentina,2003,"03",153,0.051,16.6,74.5,Americas
Argentina,2003,"03",136,0.051,16.6,74.5,Americas
Argentina,2003,"03",134,0.051,16.6,74.5,Americas
Argentina,2003,"03",134,0.051,16.6,74.5,Americas
Argentina,2003,"03",158,0.046,16.6,74.5,Americas
Argentina,2003,"03",153,0.046,16.6,74.5,Americas
Argentina,2003,"03",136,0.046,16.6,74.5,Americas
Argentina,2003,"03",134,0.046,16.6,74.5,Americas
Argentina,2003,"03",134,0.046,16.6,74.5,Americas
Argentina,2003,"03",158,0.039,16.6,74.5,Americas
Argentina,2003,"03",153,0.039,16.6,74.5,Americas
Argentina,2003,"03",136,0.039,16.6,74.5,Americas
Argentina,2003,"03",134,0.039,16.6,74.5,Americas
Argentina,2003,"03",134,0.039,16.6,74.5,Americas
Argentina,2003,"04",187,0.034,16.6,74.5,Americas
Argentina,2003,"04",209,0.034,16.6,74.5,Americas
Argentina,2003,"04",186,0.034,16.6,74.5,Americas
Argentina,2003,"04",193,0.034,16.6,74.5,Americas
Argentina,2003,"04",187,0.036,16.6,74.5,Americas
Argentina,2003,"04",209,0.036,16.6,74.5,Americas
Argentina,2003,"04",186,0.036,16.6,74.5,Americas
Argentina,2003,"04",193,0.036,16.6,74.5,Americas
Argentina,2003,"04",187,0.029,16.6,74.5,Americas
Argentina,2003,"04",209,0.029,16.6,74.5,Americas
Argentina,2003,"04",186,0.029,16.6,74.5,Americas
Argentina,2003,"04",193,0.029,16.6,74.5,Americas
Argentina,2003,"04",187,0.031,16.6,74.5,Americas
Argentina,2003,"04",209,0.031,16.6,74.5,Americas
Argentina,2003,"04",186,0.031,16.6,74.5,Americas
Argentina,2003,"04",193,0.031,16.6,74.5,Americas
Argentina,2003,"05",232,0.039,16.6,74.5,Americas
Argentina,2003,"05",239,0.039,16.6,74.5,Americas
Argentina,2003,"05",251,0.039,16.6,74.5,Americas
Argentina,2003,"05",241,0.039,16.6,74.5,Americas
Argentina,2003,"05",232,0.039,16.6,74.5,Americas
Argentina,2003,"05",239,0.039,16.6,74.5,Americas
Argentina,2003,"05",251,0.039,16.6,74.5,Americas
Argentina,2003,"05",241,0.039,16.6,74.5,Americas
Argentina,2003,"05",232,0.039,16.6,74.5,Americas
Argentina,2003,"05",239,0.039,16.6,74.5,Americas
Argentina,2003,"05",251,0.039,16.6,74.5,Americas
Argentina,2003,"05",241,0.039,16.6,74.5,Americas
Argentina,2003,"05",232,0.031,16.6,74.5,Americas
Argentina,2003,"05",239,0.031,16.6,74.5,Americas
Argentina,2003,"05",251,0.031,16.6,74.5,Americas
Argentina,2003,"05",241,0.031,16.6,74.5,Americas
Argentina,2003,"06",278,0.031,16.6,74.5,Americas
Argentina,2003,"06",261,0.031,16.6,74.5,Americas
Argentina,2003,"06",348,0.031,16.6,74.5,Americas
Argentina,2003,"06",258,0.031,16.6,74.5,Americas
Argentina,2003,"06",253,0.031,16.6,74.5,Americas
Argentina,2003,"06",278,0.039,16.6,74.5,Americas
Argentina,2003,"06",261,0.039,16.6,74.5,Americas
Argentina,2003,"06",348,0.039,16.6,74.5,Americas
Argentina,2003,"06",258,0.039,16.6,74.5,Americas
Argentina,2003,"06",253,0.039,16.6,74.5,Americas
Argentina,2003,"06",278,0.039,16.6,74.5,Americas
Argentina,2003,"06",261,0.039,16.6,74.5,Americas
Argentina,2003,"06",348,0.039,16.6,74.5,Americas
Argentina,2003,"06",258,0.039,16.6,74.5,Americas
Argentina,2003,"06",253,0.039,16.6,74.5,Americas
Argentina,2003,"06",278,0.034,16.6,74.5,Americas
Argentina,2003,"06",261,0.034,16.6,74.5,Americas
Argentina,2003,"06",348,0.034,16.6,74.5,Americas
Argentina,2003,"06",258,0.034,16.6,74.5,Americas
Argentina,2003,"06",253,0.034,16.6,74.5,Americas
Argentina,2003,"06",278,0.039,16.6,74.5,Americas
Argentina,2003,"06",261,0.039,16.6,74.5,Americas
Argentina,2003,"06",348,0.039,16.6,74.5,Americas
Argentina,2003,"06",258,0.039,16.6,74.5,Americas
Argentina,2003,"06",253,0.039,16.6,74.5,Americas
Argentina,2003,"07",229,0.027,16.6,74.5,Americas
Argentina,2003,"07",325,0.027,16.6,74.5,Americas
Argentina,2003,"07",307,0.027,16.6,74.5,Americas
Argentina,2003,"07",239,0.027,16.6,74.5,Americas
Argentina,2003,"07",229,0.034,16.6,74.5,Americas
Argentina,2003,"07",325,0.034,16.6,74.5,Americas
Argentina,2003,"07",307,0.034,16.6,74.5,Americas
Argentina,2003,"07",239,0.034,16.6,74.5,Americas
Argentina,2003,"07",229,0.036,16.6,74.5,Americas
Argentina,2003,"07",325,0.036,16.6,74.5,Americas
Argentina,2003,"07",307,0.036,16.6,74.5,Americas
Argentina,2003,"07",239,0.036,16.6,74.5,Americas
Argentina,2003,"07",229,0.029,16.6,74.5,Americas
Argentina,2003,"07",325,0.029,16.6,74.5,Americas
Argentina,2003,"07",307,0.029,16.6,74.5,Americas
Argentina,2003,"07",239,0.029,16.6,74.5,Americas
Argentina,2003,"08",235,0.022,16.6,74.5,Americas
Argentina,2003,"08",224,0.022,16.6,74.5,Americas
Argentina,2003,"08",201,0.022,16.6,74.5,Americas
Argentina,2003,"08",225,0.022,16.6,74.5,Americas
Argentina,2003,"08",192,0.022,16.6,74.5,Americas
Argentina,2003,"08",235,0.022,16.6,74.5,Americas
Argentina,2003,"08",224,0.022,16.6,74.5,Americas
Argentina,2003,"08",201,0.022,16.6,74.5,Americas
Argentina,2003,"08",225,0.022,16.6,74.5,Americas
Argentina,2003,"08",192,0.022,16.6,74.5,Americas
Argentina,2003,"08",235,0.019,16.6,74.5,Americas
Argentina,2003,"08",224,0.019,16.6,74.5,Americas
Argentina,2003,"08",201,0.019,16.6,74.5,Americas
Argentina,2003,"08",225,0.019,16.6,74.5,Americas
Argentina,2003,"08",192,0.019,16.6,74.5,Americas
Argentina,2003,"08",235,0.019,16.6,74.5,Americas
Argentina,2003,"08",224,0.019,16.6,74.5,Americas
Argentina,2003,"08",201,0.019,16.6,74.5,Americas
Argentina,2003,"08",225,0.019,16.6,74.5,Americas
Argentina,2003,"08",192,0.019,16.6,74.5,Americas
Argentina,2003,"08",235,0.024,16.6,74.5,Americas
Argentina,2003,"08",224,0.024,16.6,74.5,Americas
Argentina,2003,"08",201,0.024,16.6,74.5,Americas
Argentina,2003,"08",225,0.024,16.6,74.5,Americas
Argentina,2003,"08",192,0.024,16.6,74.5,Americas
Argentina,2003,"09",204,0.019,16.6,74.5,Americas
Argentina,2003,"09",217,0.019,16.6,74.5,Americas
Argentina,2003,"09",210,0.019,16.6,74.5,Americas
Argentina,2003,"09",213,0.019,16.6,74.5,Americas
Argentina,2003,"09",204,0.019,16.6,74.5,Americas
Argentina,2003,"09",217,0.019,16.6,74.5,Americas
Argentina,2003,"09",210,0.019,16.6,74.5,Americas
Argentina,2003,"09",213,0.019,16.6,74.5,Americas
Argentina,2003,"09",204,0.019,16.6,74.5,Americas
Argentina,2003,"09",217,0.019,16.6,74.5,Americas
Argentina,2003,"09",210,0.019,16.6,74.5,Americas
Argentina,2003,"09",213,0.019,16.6,74.5,Americas
